0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,methodAccessModifierMatched,setSocialDistancingModel:model.SocialDistancingModel->void,public,[main.DerivingMain, main.BasicMain, main.InterpolatingMain],[public, public, public]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,tags,@SocialDistancDerivingModel
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,nameInDictionary,model.DerivedModel,model
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,nameInDictionary,model.DerivedModel,derived
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,duplicateShortTypeName,[model.DerivedModel, DerivedModel]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,functionAssignsGlobal,isSafe
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,peerCommonProperties,readonly  p-v:1 access:public ExhalationLevel:int(public , null),DerivedModel,data.Combination
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,peerCommonProperties,readonly  p-v:1 access:public Duration:int(public , null),DerivedModel,data.Combination
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,peerCommonProperties,readonly  p-v:1 access:public Distance:int(public , null),DerivedModel,data.Combination
0,Mon Sep 14 23:09:06 EDT 2020,true,model/DerivedModel.java,publicMethodsOverride,[]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,util.Interpolator,util
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,theInterpolator,the
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,distanceConts,distance
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,distance,distance
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,durationConts,duration
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,duration,duration
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,exhalationLevelConts,exhalation
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,exhalationLevelConts,level
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,exhalationLevel,exhalation
0,Mon Sep 14 23:09:06 EDT 2020,true,util/Interpolator.java,nameInDictionary,exhalationLevel,level
